product_id,product_name,price,og_price,product_link,img_url
E462062-000,Pixar Art UT (Short Sleeve Graphic T-Shirt),990.0,1490.0,https://www.uniqlo.com/in/en/products/E462062-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/462062/item/ingoods_00_462062.jpg
E462061-000,Pixar Art UT (Short Sleeve Graphic T-Shirt),990.0,1490.0,https://www.uniqlo.com/in/en/products/E462061-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/462061/item/ingoods_69_462061.jpg
E462033-000,Pokemon UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E462033-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/462033/item/ingoods_65_462033.jpg
E462031-000,Pokemon UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E462031-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/462031/item/ingoods_00_462031.jpg
E461874-000,Dragon Ball UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E461874-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/461874/item/ingoods_00_461874.jpg
E461416-000,Shochiku Kabuki UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E461416-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/461416/item/ingoods_00_461416.jpg
E461338-000,Mickey X Keith UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E461338-000,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/461338/item/goods_00_461338.jpg
E461337-000,Mickey X Keith UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E461337-000,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/461337/item/goods_00_461337.jpg
E461335-000,L.A. Eats UT (Short Sleeve Graphic T-Shirt),990.0,1490.0,https://www.uniqlo.com/in/en/products/E461335-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/461335/item/ingoods_69_461335.jpg
E461334-000,L.A. Eats UT (Short Sleeve Graphic T-Shirt),990.0,1490.0,https://www.uniqlo.com/in/en/products/E461334-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/461334/item/ingoods_31_461334.jpg
