product_name,price,og_price,product_link,img_url
Cotton bucket hat,679.0,799.0,https://www2.hm.com/en_in/productpage.1048600017.html,"https://lp2.hm.com/hmgoepprod?set=source[/29/e8/29e8e881efbeb30d04d106f83840173723154861.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Skinny Jeans,1529.0,1799.0,https://www2.hm.com/en_in/productpage.0985159007.html,"https://lp2.hm.com/hmgoepprod?set=source[/ce/7e/ce7e4bb772917a1ae43e8b8b9dc0bdb6afbf5d9d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
90's Regular Denim Shorts,1599.0,1999.0,https://www2.hm.com/en_in/productpage.1157638003.html,"https://lp2.hm.com/hmgoepprod?set=source[/8c/f5/8cf50ab73600c33b972d0131e86248c7faa3430b.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Relaxed Fit Zip-off joggers,2879.0,3599.0,https://www2.hm.com/en_in/productpage.1155788001.html,"https://lp2.hm.com/hmgoepprod?set=source[/aa/a3/aaa31a2835e9d142e60f30e5f5c6d454812126ad.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Cotton canvas shopper,1109.0,1299.0,https://www2.hm.com/en_in/productpage.1172261001.html,"https://lp2.hm.com/hmgoepprod?set=source[/65/6a/656a41e4c2f7bbf3d76f32841b0876633adbe33b.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Regular Fit Terry polo shirt,1599.0,1999.0,https://www2.hm.com/en_in/productpage.1162455001.html,"https://lp2.hm.com/hmgoepprod?set=source[/c5/35/c53562fdc5e8500ee8711c17e99c472109b69d1c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Relaxed Fit Linen-blend shirt,1499.0,1999.0,https://www2.hm.com/en_in/productpage.1037470005.html,"https://lp2.hm.com/hmgoepprod?set=source[/67/b3/67b34181c2d3f90d6245bcc08fe593cf34e9c535.jpg],origin[dam],category[men_shirts_linenshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Leather gloves,1839.0,2299.0,https://www2.hm.com/en_in/productpage.1090270001.html,"https://lp2.hm.com/hmgoepprod?set=source[/57/31/5731f1c05a1bf24d5358b17c44c75955d9003302.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Relaxed Fit Linen-blend dungarees,3999.0,4999.0,https://www2.hm.com/en_in/productpage.1143932001.html,"https://lp2.hm.com/hmgoepprod?set=source[/be/b9/beb90ca47c717fe70a2141441e39d19af2f9eb7f.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
90's Regular Denim Shorts,1599.0,1999.0,https://www2.hm.com/en_in/productpage.1157638001.html,"https://lp2.hm.com/hmgoepprod?set=source[/12/2b/122b9ed732277006e09451fc1d7d1c4452c690bd.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
